step,epoch,kind,loss
10,0.26936026936026936,train,1.9323
20,0.5387205387205387,train,1.7114
30,0.8080808080808081,train,1.4418
37,0.9966329966329966,eval,1.061670184135437
40,1.0774410774410774,train,1.3176
50,1.3468013468013469,train,1.2168
60,1.6161616161616161,train,1.1567
70,1.8855218855218854,train,1.1595
74,1.9932659932659933,eval,0.9534638524055481
80,2.154882154882155,train,1.1304
90,2.4242424242424243,train,1.1
100,2.6936026936026938,train,1.0765
110,2.962962962962963,train,1.1004
111,2.98989898989899,eval,0.9229097366333008
120,3.2323232323232323,train,1.0562
130,3.5016835016835017,train,1.0631
140,3.771043771043771,train,1.0268
148,3.9865319865319866,eval,0.9083878397941589
150,4.040404040404041,train,1.034
160,4.30976430976431,train,1.0417
170,4.57912457912458,train,1.023
180,4.848484848484849,train,1.0057
185,4.983164983164983,eval,0.897858738899231
190,5.117845117845118,train,1.0356
200,5.3872053872053876,train,1.0049
210,5.656565656565657,train,1.0092
220,5.925925925925926,train,0.9971
222,5.97979797979798,eval,0.8915828466415405
230,6.1952861952861955,train,0.9978
240,6.4646464646464645,train,0.9865
250,6.7340067340067336,train,0.993
259,6.976430976430977,eval,0.8879700899124146
260,7.0033670033670035,train,0.9966
270,7.2727272727272725,train,0.994
280,7.542087542087542,train,0.9782
290,7.811447811447811,train,0.9933
296,7.973063973063973,eval,0.8876846432685852
